"event_message","event_type","function_id","id","level","timestamp"
"Webhook error: Error: null value in column "current_period_end" of relation "subscriptions" violates not-null constraint
    at handlePaymentSucceeded (file:///Users/chira/habitoff/supabase/functions/dodo-webhook/index.ts:92:13)
    at eventLoopTick (ext:core/01_core.js:168:7)
    at async Server.<anonymous> (file:///Users/chira/habitoff/supabase/functions/dodo-webhook/index.ts:206:9)
    at async #respond (https://deno.land/std@0.168.0/http/server.ts:221:18)
","Log","a9c2ddb8-d7ca-4282-88eb-09bfb0100f8f","83f066de-e09f-4063-9210-217c97cccf5c","error","1738693034543537"
"Error in handlePaymentSucceeded: Error: null value in column "current_period_end" of relation "subscriptions" violates not-null constraint
    at handlePaymentSucceeded (file:///Users/chira/habitoff/supabase/functions/dodo-webhook/index.ts:92:13)
    at eventLoopTick (ext:core/01_core.js:168:7)
    at async Server.<anonymous> (file:///Users/chira/habitoff/supabase/functions/dodo-webhook/index.ts:206:9)
    at async #respond (https://deno.land/std@0.168.0/http/server.ts:221:18)
","Log","a9c2ddb8-d7ca-4282-88eb-09bfb0100f8f","cbb499a5-b854-4a03-9c95-305f0ac8ae6e","error","1738693034543280"
"Payment processing failed: null value in column "current_period_end" of relation "subscriptions" violates not-null constraint
","Log","a9c2ddb8-d7ca-4282-88eb-09bfb0100f8f","2fd8291a-2262-47cf-95d9-d23f9015dd96","error","1738693034542974"
"Processing event: {
  type: "payment.succeeded",
  event_id: undefined,
  timestamp: "2025-02-04T18:17:09.636Z"
}
","Log","a9c2ddb8-d7ca-4282-88eb-09bfb0100f8f","bbcc7042-1bd3-41a1-b4e3-60f707bfa584","log","1738693034542685"
"Webhook headers: {
  webhookId: "evt_XalKCjHMBdUUbGR2OaXxk",
  signature: "v1,hd+swd6cPfG1DpAxhNbr6mJonNeE7LjXaNILXVqLano=",
  timestamp: "1738693026"
}
","Log","a9c2ddb8-d7ca-4282-88eb-09bfb0100f8f","bb9ddaa4-583c-44f5-876f-4a06a460b30d","log","1738693034542507"
"Received webhook event: {
  body: '{"business_id":"bus_ohHLh9SuHeWIV8hb8mAUm","type":"payment.succeeded","timestamp":"2025-02-04T18:17:06.163475362Z","data":{"payload_type":"Payment","payment_id":"pay_gcy5bAEMV7SlUX61ieAFi","business_id":"bus_ohHLh9SuHeWIV8hb8mAUm","status":"succeeded","total_amount":51053,"currency":"INR","payment_method":"card","payment_method_type":null,"created_at":"2025-02-04T18:16:51.035156Z","updated_at":null,"disputes":[],"refunds":[],"customer":{"customer_id":"cus_rQ5jMXxKouAg3MZoDXLI9","name":"chirag TALWAR","email":"workwithchiragt@gmail.com"},"subscription_id":null,"product_cart":[{"product_id":"pdt_gUut7yIhw8NffnEkF9cqW","quantity":1}],"payment_link":"https://test.checkout.dodopayments.com/r6i7VWlx","tax":7788,"metadata":{}}}',
  timestamp: "2025-02-04T18:17:09.632Z",
  headers: {
    accept: "*/*",
    "accept-encoding": "gzip",
    "cdn-loop": "cloudflare; loops=1; subreqs=1",
    "cf-connecting-ip": "34.100.153.98",
    "cf-ew-via": "15",
    "cf-ray": "90cca7d9877ef2eb-BOM",
    "cf-visitor": '{"scheme":"https"}',
    "cf-worker": "supabase.co",
    "content-length": "730",
    "content-type": "application/json",
    host: "edge-runtime.supabase.com",
    "user-agent": "DodoPayments/v1",
    "webhook-id": "evt_XalKCjHMBdUUbGR2OaXxk",
    "webhook-signature": "v1,hd+swd6cPfG1DpAxhNbr6mJonNeE7LjXaNILXVqLano=",
    "webhook-timestamp": "1738693026",
    "x-amzn-trace-id": "Root=1-67a259a2-60e042f04bb2ba5f77ff920a",
    "x-deno-subhost": "eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiIsImtpZCI6InN1cGFiYXNlIn0.eyJwcm9qZWN0X3JlZiI6InFkd2Jra2t1dHZncWRrcnprbmVwIiwibmFtZSI6ImRvZG8td2ViaG9vayIsInBsYW4iOiJ0aWVyX2ZyZWUiLCJycGNfcm9vdCI6Imh0dHBzOi8vc3VwYWJhc2Utb3JpZ2luLmRlbm8uZGV2L3YwLyIsImV4cCI6MTczODY5MzkyNiwiaWF0IjoxNzM4NjkzMDI2fQ.EjKauwZa_ZMNEBz7nrNn8EqILA-M5DsqeNXBWbxS-fs",
    "x-forwarded-for": "34.100.153.98,34.100.153.98, 13.248.105.45",
    "x-forwarded-host": "edge-runtime.supabase.com",
    "x-forwarded-port": "443",
    "x-forwarded-proto": "https"
  }
}
","Log","a9c2ddb8-d7ca-4282-88eb-09bfb0100f8f","4f4ab0a7-ee77-4b3d-bedb-fbbdb7c0fd42","log","1738693034542344"
"Listening on http://localhost:9999/
","Log","a9c2ddb8-d7ca-4282-88eb-09bfb0100f8f","1fa71656-5bd1-4084-88d0-532daec1e1fc","log","1738693034542139"
"booted (time: 28ms)","Boot","a9c2ddb8-d7ca-4282-88eb-09bfb0100f8f","a124f3d5-a6f5-4b02-bb7b-cad8d6c2279d","log","1738693034541915"
"shutdown","Shutdown","a9c2ddb8-d7ca-4282-88eb-09bfb0100f8f","610e3b75-5d5d-470f-b6e9-bf4c11ea9462","log","1738692873934354"
"Successfully processed payment: {
  userId: "a152b8e3-acd1-4824-8a4d-362f78d3d020",
  payment_id: "pay_CBbBm4rUDciqwCMnKst5V",
  is_lifetime: true,
  result: {
    success: false,
    error: 'null value in column "current_period_end" of relation "subscriptions" violates not-null constraint'
  }
}
","Log","a9c2ddb8-d7ca-4282-88eb-09bfb0100f8f","00dd42ad-135b-48e1-b7f9-691c38e7b1ae","log","1738692798921042"
"Processing event: {
  type: "payment.succeeded",
  event_id: undefined,
  timestamp: "2025-02-04T18:13:18.531Z"
}
","Log","a9c2ddb8-d7ca-4282-88eb-09bfb0100f8f","280b7bad-8b39-484d-9011-472f1d37b243","log","1738692798920901"
"Webhook headers: {
  webhookId: "evt_XLgwogkSQRxsipOM09blS",
  signature: "v1,K7YVa4lsksiuulUZPIGwcvdDF6m9dYNVnb8E0Xc4Nj4=",
  timestamp: "1738692797"
}
","Log","a9c2ddb8-d7ca-4282-88eb-09bfb0100f8f","41055e09-0bdd-422f-83b1-e2f6705c21a7","log","1738692798920735"
"Received webhook event: {
